127.0.0.1 - - [05/Jul/2022:18:19:07 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Jul/2022:18:19:08 +0700] "GET /su22b1_it16304_sof3021/ HTTP/1.1" 404 275
0:0:0:0:0:0:0:1 - - [05/Jul/2022:18:19:08 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Jul/2022:18:19:12 +0700] "GET /su22b1_it16304_sof3021/home HTTP/1.1" 200 24761
0:0:0:0:0:0:0:1 - - [05/Jul/2022:18:19:12 +0700] "GET /su22b1_it16304_sof3021/js/popper.min.js HTTP/1.1" 404 139
0:0:0:0:0:0:0:1 - - [05/Jul/2022:18:19:12 +0700] "GET /su22b1_it16304_sof3021/js/jquery.min.js HTTP/1.1" 404 139
0:0:0:0:0:0:0:1 - - [05/Jul/2022:18:19:13 +0700] "GET /su22b1_it16304_sof3021/images/fpt.png HTTP/1.1" 200 2019
0:0:0:0:0:0:0:1 - - [05/Jul/2022:18:19:15 +0700] "GET /su22b1_it16304_sof3021/products HTTP/1.1" 200 29573
0:0:0:0:0:0:0:1 - - [05/Jul/2022:18:19:15 +0700] "GET /su22b1_it16304_sof3021/js/popper.min.js HTTP/1.1" 404 139
0:0:0:0:0:0:0:1 - - [05/Jul/2022:18:19:15 +0700] "GET /su22b1_it16304_sof3021/js/jquery.min.js HTTP/1.1" 404 139
