0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:24:18 +0700] "GET /su22b1_it16304_sof3021/home HTTP/1.1" 200 24800
0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:24:18 +0700] "GET /su22b1_it16304_sof3021/js/jquery.min.js HTTP/1.1" 404 139
0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:24:18 +0700] "GET /su22b1_it16304_sof3021/images/user/6.png HTTP/1.1" 200 1201124
0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:24:18 +0700] "GET /su22b1_it16304_sof3021/js/popper.min.js HTTP/1.1" 404 139
0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:24:31 +0700] "GET /su22b1_it16304_sof3021/products HTTP/1.1" 200 29504
0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:24:31 +0700] "GET /su22b1_it16304_sof3021/images/products/videoxe.mp4 HTTP/1.1" 206 15294464
0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:24:31 +0700] "GET /su22b1_it16304_sof3021/js/jquery.min.js HTTP/1.1" 404 139
0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:24:31 +0700] "GET /su22b1_it16304_sof3021/js/popper.min.js HTTP/1.1" 404 139
0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:24:38 +0700] "GET /su22b1_it16304_sof3021/admin/accounts/index HTTP/1.1" 200 14250
0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:24:38 +0700] "GET /su22b1_it16304_sof3021/js/popper.min.js HTTP/1.1" 404 139
0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:24:38 +0700] "GET /su22b1_it16304_sof3021/js/jquery.min.js HTTP/1.1" 404 139
0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:24:38 +0700] "GET /su22b1_it16304_sof3021/images/user/3.png HTTP/1.1" 200 160206
